evt,year,month,day,hour,minute,second,evlat,evlon,evdep,evmag,time_shift,half_duration,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp
C202103061441A,2021,3,6,14,41,22,-28.88,-176.06,17.2,5.52,0,1.4,1.86e+17,-3.18e+16,-1.54e+17,5.57e+16,1.58e+17,-3.4199999999999996e+16
C202103061713A,2021,3,6,17,13,13,-29.96,-176.4,12.0,5.64,0,1.6,2.5499999999999997e+17,-2.63e+16,-2.28e+17,7.98e+16,2.45e+17,-7.96e+16
C202103061732A,2021,3,6,17,32,42,-28.36,-175.94,12.0,5.51,0,1.4,1.7999999999999997e+17,-1.02e+16,-1.7e+17,3.82e+16,1.4299999999999998e+17,5600000000000000.0
C202103061818A,2021,3,6,18,18,34,20.92,144.54,13.2,5.41,0,1.2,-1.63e+17,5.58e+16,1.07e+17,5900000000000000.0,-100000000000000.0,-8.51e+16
C202103061851A,2021,3,6,18,51,13,20.86,144.58,12.0,5.53,0,1.4,-2.3799999999999997e+17,1.25e+17,1.12e+17,-4099999999999999.5,2.16e+16,-1.3599999999999998e+17
C202103062330A,2021,3,6,23,30,4,-28.21,-177.83,12.0,5.4,0,1.2,-1.16e+17,6000000000000000.0,1.1e+17,-1.93e+16,3.97e+16,1.09e+17
C202103070155A,2021,3,7,1,55,10,-28.31,-176.18,12.0,5.5,0,1.4,1.49e+17,7800000000000000.0,-1.57e+17,5.56e+16,1.56e+17,-1.86e+16
C202103070410A,2021,3,7,4,10,26,-28.98,-176.3,13.7,5.61,0,1.6,2.4e+17,-8399999999999999.0,-2.3099999999999997e+17,7.75e+16,2.1499999999999997e+17,-5.279999999999999e+16
C202103070453A,2021,3,7,4,54,0,-37.37,179.92,12.0,5.57,0,1.5,-2.5999999999999997e+17,4.37e+16,2.1599999999999997e+17,1.0299999999999998e+16,3.91e+16,1.4399999999999998e+17
C202103070756A,2021,3,7,7,56,20,-32.48,-177.61,13.6,5.67,0,1.7,2.7e+17,-2.37e+16,-2.4599999999999997e+17,8.64e+16,2.82e+17,-9.66e+16
C202103072333A,2021,3,7,23,33,48,-29.5,-176.76,14.0,5.45,0,1.3,1.3799999999999998e+17,-1.02e+16,-1.28e+17,2.88e+16,1.2299999999999998e+17,-5.019999999999999e+16
